machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,health
L47435,L,298.0,308.2,1489,40.4,11,Healthy
L47436,L,298.1,308.3,1331,63.0,13,Healthy
L47437,L,298.0,308.0,1615,29.5,15,Healthy
L47438,L,298.1,308.2,1482,37.9,17,Healthy
M15119,M,298.1,308.2,1420,63.9,19,Critical
M15120,M,298.2,308.3,1522,49.1,22,Healthy
L47441,L,298.1,308.2,1654,32.1,25,Healthy
M15122,M,298.1,308.2,1736,26.8,27,Healthy
M15123,M,298.0,308.1,1587,32.3,30,Healthy
L47444,L,298.1,308.2,1390,47.5,33,Healthy
L47445,L,298.0,308.1,1454,37.1,35,Healthy
H29680,H,298.0,308.1,1440,43.7,37,Healthy
L47447,L,297.9,308.0,1954,21.1,42,Healthy
H29682,H,297.9,308.0,1800,24.8,44,Healthy
L47449,L,298.0,308.0,1524,37.0,49,Healthy
H29684,H,298.0,308.0,1520,39.6,51,Healthy
M15131,M,298.1,308.1,1452,40.8,56,Healthy
L47452,L,298.1,308.1,1484,40.4,59,Healthy
L47453,L,298.1,308.0,1426,46.0,61,Healthy
L47454,L,298.1,308.0,1652,28.5,63,Healthy
L47455,L,298.0,308.0,1401,54.7,65,Healthy
M15136,M,298.0,307.9,1750,26.6,67,Healthy
H29691,H,298.0,308.0,1479,50.7,70,Healthy
M15138,M,298.0,308.0,1620,29.4,75,Healthy
L47459,L,298.0,308.1,1819,23.4,78,Healthy
M15140,M,298.1,308.1,1456,43.7,80,Medium
L47461,L,298.1,308.0,1626,36.5,83,Medium
M15142,M,298.1,308.1,1390,49.8,85,Medium
L47463,L,298.2,308.2,1469,43.0,88,Medium
L47464,L,298.2,308.3,2051,19.2,90,Medium
L47465,L,298.2,308.3,1568,36.0,92,Medium
L47466,L,298.2,308.3,1589,33.2,94,Medium
L47467,L,298.2,308.3,1805,31.6,96,Medium
H29702,H,298.2,308.4,1385,42.2,98,Medium
L47469,L,298.1,308.4,1436,46.7,103,Medium
L47470,L,298.1,308.4,1438,45.6,105,Medium
L47471,L,298.0,308.3,1473,42.6,107,Medium
L47472,L,298.1,308.4,1335,40.2,109,Medium
H29707,H,298.1,308.5,1392,44.8,111,Medium
M15154,M,298.1,308.5,1372,51.1,116,Medium
M15155,M,298.1,308.6,1716,30.7,119,Medium
L47476,L,298.0,308.5,1395,46.2,122,Medium
L47477,L,298.0,308.5,1713,25.3,124,Medium
H29712,H,297.9,308.5,2129,18.7,126,Medium
M15159,M,297.8,308.3,1567,35.6,131,Medium
L47480,L,297.8,308.4,1622,38.3,134,Medium
L47481,L,297.7,308.4,1740,27.1,136,Medium
H29716,H,297.8,308.4,1512,35.1,138,Medium
M15163,M,297.8,308.4,1479,43.5,143,Medium
L47484,L,297.8,308.4,1737,27.5,146,Medium
L47485,L,297.8,308.4,2129,19.2,148,Medium
L47486,L,297.8,308.4,1374,47.1,150,Medium
M15167,M,297.8,308.4,1579,36.6,152,Medium
L47488,L,297.9,308.5,1305,47.2,155,Medium
M15169,M,297.9,308.5,1449,40.8,157,Medium
H29724,H,298.0,308.6,1526,41.8,160,Medium
M15171,M,298.0,308.6,1453,44.1,165,Medium
L47492,L,297.9,308.6,1468,36.0,168,Medium
L47493,L,298.0,308.6,1313,50.8,170,Medium
M15174,M,297.9,308.5,1300,53.0,172,Medium
L47495,L,297.9,308.4,1646,40.6,175,Medium
L47496,L,297.8,308.4,1714,33.2,177,Medium
L47497,L,297.8,308.4,1685,28.4,179,Medium
L47498,L,297.8,308.4,1512,39.9,181,Critical
L47499,L,297.8,308.4,1612,32.1,183,Critical
H29734,H,297.8,308.4,1550,38.2,185,Critical
L47501,L,297.8,308.4,1518,32.5,190,Critical
L47502,L,297.8,308.5,1448,40.0,192,Critical
L47503,L,297.8,308.5,1561,46.3,194,Critical
M15184,M,297.8,308.5,1488,41.9,196,Critical
L47505,L,297.8,308.5,1699,27.8,199,Critical
L47506,L,297.7,308.5,1501,41.4,201,Critical
L47507,L,297.7,308.5,1373,56.7,203,Critical
H29742,H,297.6,308.4,1703,31.4,205,Critical
H29743,H,297.7,308.5,1720,29.9,210,Critical
M15190,M,297.6,308.4,1398,41.9,215,Critical
M15191,M,297.6,308.4,1391,51.9,218,Critical
M15192,M,297.6,308.3,1538,40.2,0,Healthy
L47513,L,297.5,308.2,1647,31.3,3,Healthy
M15194,M,297.5,308.1,1469,44.8,5,Healthy
L47515,L,297.4,308.1,1749,25.9,8,Healthy
M15196,M,297.6,308.2,1995,20.5,10,Healthy
L47517,L,297.6,308.3,1742,27.7,13,Healthy
L47518,L,297.5,308.2,1563,38.2,15,Healthy
M15199,M,297.5,308.2,1713,32.2,17,Healthy
L47520,L,297.4,308.1,1474,39.4,20,Healthy
M15201,M,297.4,308.2,1530,32.6,22,Healthy
L47522,L,297.4,308.2,1471,46.5,25,Healthy
L47523,L,297.5,308.3,1388,48.6,27,Healthy
M15204,M,297.5,308.2,2448,13.8,29,Healthy
L47525,L,297.5,308.3,1585,32.9,32,Healthy
M15206,M,297.5,308.3,1459,45.2,34,Healthy
L47527,L,297.5,308.3,1544,40.8,37,Healthy
L47528,L,297.6,308.3,1617,31.7,39,Healthy
L47529,L,297.6,308.3,1595,34.3,41,Healthy
H29764,H,297.6,308.3,1400,44.3,43,Healthy
M15211,M,297.6,308.4,1611,31.0,48,Healthy
M15212,M,297.6,308.4,1507,46.0,51,Healthy
H29767,H,297.5,308.3,1674,30.0,54,Healthy
L47534,L,297.6,308.3,1658,34.3,59,Healthy
L47535,L,297.6,308.3,1623,36.9,61,Healthy
M15216,M,297.6,308.4,1398,48.9,63,Healthy
L47537,L,297.6,308.4,1517,34.2,66,Healthy
M15218,M,297.6,308.3,1467,36.7,68,Healthy
M15219,M,297.6,308.3,1567,34.6,71,Healthy
M15220,M,297.5,308.3,1521,38.2,74,Healthy
L47541,L,297.5,308.3,1596,36.8,77,Healthy
H29776,H,297.6,308.3,1640,30.9,79,Healthy
L47543,L,297.6,308.3,1438,47.8,84,Medium
L47544,L,297.6,308.4,1407,55.2,86,Medium
L47545,L,297.6,308.4,1353,57.5,88,Medium
M15226,M,297.6,308.5,1552,40.9,90,Medium
M15227,M,297.6,308.4,1569,38.3,93,Medium
L47548,L,297.5,308.4,1489,39.5,96,Medium
H29783,H,297.5,308.4,1587,36.1,98,Medium
M15230,M,297.5,308.3,1622,37.2,103,Medium
L47551,L,297.5,308.4,1604,38.1,106,Medium
M15232,M,297.4,308.3,1405,51.7,108,Medium
L47553,L,297.4,308.3,1412,42.0,111,Medium
L47554,L,297.4,308.3,1431,43.0,113,Medium
L47555,L,297.4,308.2,1533,37.4,115,Medium
M15236,M,297.4,308.2,1401,51.9,117,Medium
M15237,M,297.4,308.2,1424,53.9,120,Medium
L47558,L,297.3,308.2,1754,29.4,123,Medium
L47559,L,297.3,308.2,1754,26.8,125,Medium
L47560,L,297.5,308.3,2564,12.8,127,Critical
L47561,L,297.5,308.5,1546,40.4,129,Medium
L47562,L,297.5,308.5,1335,48.0,131,Medium
M15243,M,297.5,308.6,1842,27.0,133,Medium
L47564,L,297.5,308.5,1712,26.8,136,Medium
M15245,M,297.6,308.6,1414,45.4,138,Medium
L47566,L,297.6,308.7,1319,50.9,141,Medium
L47567,L,297.7,308.7,1249,60.4,143,Medium
L47568,L,297.6,308.7,1455,48.2,145,Medium
M15249,M,297.6,308.7,1408,54.8,147,Medium
L47570,L,297.6,308.7,1460,46.7,150,Medium
L47571,L,297.6,308.6,1491,38.1,152,Medium
M15252,M,297.6,308.5,1490,43.4,154,Medium
M15253,M,297.5,308.4,1350,52.2,157,Medium
L47574,L,297.5,308.4,1528,39.9,160,Medium
L47575,L,297.4,308.3,1571,37.7,162,Medium
L47576,L,297.4,308.3,1490,42.6,164,Medium
M15257,M,297.4,308.3,1774,28.9,166,Medium
H29812,H,297.4,308.3,1502,43.6,169,Medium
L47579,L,297.4,308.4,1392,49.7,174,Medium
L47580,L,297.4,308.5,2100,16.9,176,Medium
L47581,L,297.5,308.5,1722,30.4,178,Medium
L47582,L,297.4,308.6,1678,32.3,180,Critical
L47583,L,297.3,308.6,1273,59.8,182,Critical
L47584,L,297.3,308.6,1297,45.9,184,Critical
L47585,L,297.3,308.5,1350,57.6,186,Critical
L47586,L,297.4,308.6,1439,51.9,188,Critical
M15267,M,297.4,308.5,1600,42.1,190,Critical
M15268,M,297.4,308.6,1434,44.4,193,Critical
L47589,L,297.4,308.6,1459,41.3,196,Critical
M15270,M,297.5,308.6,1472,44.9,198,Critical
L47591,L,297.5,308.7,1429,44.3,201,Critical
L47592,L,297.5,308.6,1388,48.2,203,Critical
L47593,L,297.4,308.4,1573,34.5,205,Critical
L47594,L,297.4,308.4,1588,32.5,207,Critical
L47595,L,297.5,308.4,1511,42.8,209,Critical
L47596,L,297.4,308.5,1495,37.8,211,Critical
L47597,L,297.4,308.4,1394,50.1,213,Critical
L47598,L,297.4,308.4,2151,17.7,0,Healthy
M15279,M,297.3,308.3,1501,38.2,2,Healthy
M15280,M,297.3,308.3,1301,39.6,5,Healthy
M15281,M,297.3,308.3,1657,31.1,8,Healthy
L47602,L,297.3,308.3,1333,55.2,11,Healthy
L47603,L,297.3,308.3,1484,43.9,13,Healthy
L47604,L,297.3,308.4,1430,45.7,15,Healthy
M15285,M,297.3,308.4,1665,28.9,17,Healthy
L47606,L,297.4,308.5,1501,44.9,20,Healthy
M15287,M,297.5,308.5,1496,42.2,22,Healthy
M15288,M,297.6,308.6,1595,36.9,25,Healthy
L47609,L,297.5,308.6,1208,62.3,28,Healthy
L47610,L,297.5,308.6,1596,37.1,30,Healthy
L47611,L,297.5,308.5,1446,41.9,32,Healthy
M15292,M,297.6,308.5,1466,39.7,34,Healthy
M15293,M,297.6,308.5,1848,23.7,37,Healthy
M15294,M,297.5,308.5,1484,44.7,40,Healthy
L47615,L,297.4,308.3,1493,41.2,43,Healthy
L47616,L,297.3,308.3,1504,36.3,45,Healthy
L47617,L,297.3,308.3,1538,38.5,47,Healthy
L47618,L,297.4,308.4,1341,52.2,49,Healthy
M15299,M,297.4,308.3,1535,34.6,51,Healthy
L47620,L,297.4,308.5,1389,39.2,54,Healthy
H29855,H,297.5,308.5,1393,46.6,56,Healthy
L47622,L,297.4,308.5,1399,61.5,61,Critical
H29857,H,297.4,308.5,1469,45.1,63,Healthy
L47624,L,297.4,308.4,1582,37.2,68,Healthy
L47625,L,297.5,308.6,1793,26.7,70,Healthy
L47626,L,297.5,308.6,1452,39.0,72,Healthy
M15307,M,297.6,308.7,1376,59.9,74,Healthy
L47628,L,297.5,308.6,1552,44.9,77,Healthy
L47629,L,297.6,308.7,1622,37.9,79,Healthy
M15310,M,297.6,308.7,1419,41.7,81,Medium
H29865,H,297.5,308.6,1440,46.1,84,Medium
M15312,M,297.4,308.6,1643,31.0,89,Medium
L47633,L,297.4,308.7,1510,36.2,92,Medium
L47634,L,297.4,308.7,1468,46.6,94,Medium
L47635,L,297.4,308.7,1429,57.4,96,Medium
H29870,H,297.3,308.7,1478,47.6,98,Medium
L47637,L,297.4,308.6,1276,53.6,103,Medium
L47638,L,297.3,308.6,1486,42.6,105,Medium
L47639,L,297.4,308.6,1476,42.3,107,Medium
H29874,H,297.3,308.6,1431,42.0,109,Medium
L47641,L,297.4,308.7,1402,40.2,114,Medium
L47642,L,297.4,308.7,1433,43.4,116,Medium
L47643,L,297.4,308.7,2874,4.2,118,Critical
L47644,L,297.3,308.6,1511,35.7,120,Medium
M15325,M,297.3,308.6,1456,42.9,122,Medium
L47646,L,297.2,308.5,1550,41.5,125,Medium
L47647,L,297.2,308.5,2182,16.5,127,Medium
L47648,L,297.3,308.7,1619,31.6,129,Medium
M15329,M,297.3,308.8,1586,32.7,131,Medium
H29884,H,297.3,308.8,1499,44.2,134,Medium
H29885,H,297.3,308.8,1419,42.4,139,Medium
M15332,M,297.4,309.0,1497,41.8,144,Medium
M15333,M,297.4,309.0,1520,37.0,147,Medium
L47654,L,297.4,309.1,1478,49.8,150,Medium
L47655,L,297.4,309.1,1380,41.1,152,Medium
L47656,L,297.4,309.0,1570,37.9,154,Medium
H29891,H,297.4,309.0,1468,41.4,156,Medium
L47658,L,297.4,309.0,1833,22.6,161,Medium
M15339,M,297.4,308.9,1323,57.3,163,Medium
L47660,L,297.4,309.0,1583,32.0,166,Medium
M15341,M,297.3,309.0,1556,39.5,168,Medium
L47662,L,297.3,309.0,1548,37.4,171,Medium
L47663,L,297.4,309.0,1324,56.9,173,Medium
L47664,L,297.4,309.0,1568,33.7,175,Medium
M15345,M,297.4,309.0,1685,30.7,177,Medium
M15346,M,297.4,309.1,1582,35.9,180,Critical
M15347,M,297.4,309.1,1463,35.0,183,Critical
L47668,L,297.4,309.2,1584,42.8,186,Critical
M15349,M,297.5,309.2,1347,55.8,188,Critical
L47670,L,297.4,309.2,1459,37.9,191,Critical
L47671,L,297.4,309.2,1420,45.6,193,Critical
L47672,L,297.5,309.3,1404,43.5,195,Critical
L47673,L,297.5,309.3,1470,38.8,197,Critical
L47674,L,297.6,309.4,1326,49.8,199,Critical
H29909,H,297.5,309.3,1459,49.7,201,Critical
M15356,M,297.5,309.2,1530,40.0,206,Critical
L47677,L,297.4,309.0,1505,39.2,209,Critical
L47678,L,297.5,309.1,1611,30.2,211,Critical
L47679,L,297.5,309.1,1515,35.1,213,Critical
M15360,M,297.5,309.2,1804,27.4,215,Critical
M15361,M,297.6,309.3,1464,46.2,218,Critical
L47682,L,297.6,309.2,1390,43.3,221,Critical
M15363,M,297.6,309.2,1442,48.1,0,Healthy
M15364,M,297.6,309.3,1529,41.9,3,Healthy
L47685,L,297.6,309.3,1610,35.0,6,Healthy
L47686,L,297.6,309.3,1543,34.3,8,Healthy
H29921,H,297.8,309.4,1445,48.2,10,Healthy
