machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,health,maintenance_count,last_service_days,next_service_days,maintenance_type,total_downtime_hours,maintenance_cost,last_failure,operating_hours,estimated_age_years,remaining_useful_life_years,utilization_percent,health_trend,annual_maintenance,retrofit_cost,replacement_cost,expected_life_years,energy_cost_per_year,resale_value,production_loss_per_day
L47208,L,299.1,309.4,1439,44.2,82,Medium,3,79,139,Preventive,6,750,No,6568,2.6,7.4,48.0,Declining,2500,8000,25000,5,1500,5000,800
L47209,L,299.0,309.4,1693,30.1,84,Medium,3,78,138,Preventive,7,750,No,7166,2.9,7.1,56.4,Declining,2500,8000,25000,5,1500,5000,800
M14890,M,299.1,309.5,1339,48.2,86,Medium,3,77,137,Preventive,7,1050,No,6548,2.6,7.4,44.6,Declining,4500,15000,45000,7,2800,9000,1500
L47211,L,299.0,309.4,1798,25.5,89,Medium,3,76,136,Preventive,7,750,No,7601,3.0,7.0,59.9,Declining,2500,8000,25000,5,1500,5000,800
L47212,L,299.0,309.4,1419,48.3,91,Medium,3,75,135,Preventive,7,750,No,6933,2.8,7.2,47.3,Declining,2500,8000,25000,5,1500,5000,800
L47213,L,298.9,309.3,1665,32.5,93,Medium,3,74,134,Preventive,7,750,No,7515,3.0,7.0,55.5,Declining,2500,8000,25000,5,1500,5000,800
M14894,M,298.8,309.1,1559,34.7,95,Medium,3,73,133,Preventive,7,1050,No,7393,3.0,7.0,52.0,Declining,4500,15000,45000,7,2800,9000,1500
M14895,M,298.8,309.2,1452,48.6,98,Medium,3,71,131,Preventive,8,1050,No,7314,2.9,7.1,48.4,Declining,4500,15000,45000,7,2800,9000,1500
M14896,M,298.9,309.2,1581,36.7,101,Medium,3,70,130,Preventive,8,1050,No,7707,3.1,6.9,52.7,Declining,4500,15000,45000,7,2800,9000,1500
L47217,L,298.8,309.1,1439,39.2,104,Medium,3,68,128,Preventive,8,750,No,7558,3.0,7.0,48.0,Declining,2500,8000,25000,5,1500,5000,800
H29452,H,298.9,309.2,1379,50.7,106,Medium,4,67,127,Preventive,8,1600,No,7528,3.0,7.0,46.0,Declining,7000,25000,70000,10,4200,15000,2500
L47219,L,298.8,309.1,1350,52.5,111,Medium,4,65,125,Preventive,9,900,No,7695,3.1,6.9,45.0,Declining,2500,8000,25000,5,1500,5000,800
L47220,L,298.8,309.1,1362,45.4,113,Medium,4,64,124,Preventive,9,900,No,7809,3.1,6.9,45.4,Declining,2500,8000,25000,5,1500,5000,800
L47221,L,298.8,309.1,1368,50.8,115,Medium,4,63,123,Preventive,9,900,No,7911,3.2,6.8,45.6,Declining,2500,8000,25000,5,1500,5000,800
M14902,M,298.8,309.1,1368,49.1,117,Medium,4,62,122,Preventive,9,1200,No,8001,3.2,6.8,45.6,Declining,4500,15000,45000,7,2800,9000,1500
H29457,H,298.8,309.2,1372,48.5,120,Medium,4,60,120,Corrective,10,1600,No,8144,3.3,6.7,45.7,Declining,7000,25000,70000,10,4200,15000,2500
M14904,M,298.8,309.1,1472,47.5,125,Medium,4,58,118,Corrective,10,1200,No,8569,3.4,6.6,49.1,Declining,4500,15000,45000,7,2800,9000,1500
L47225,L,298.8,309.1,1489,49.1,128,Medium,4,56,116,Corrective,10,900,No,8738,3.5,6.5,49.6,Declining,2500,8000,25000,5,1500,5000,800
M14906,M,298.7,309.0,1843,25.8,130,Medium,4,55,115,Corrective,10,1200,No,9536,3.8,6.2,61.4,Declining,4500,15000,45000,7,2800,9000,1500
L47227,L,298.8,309.1,1418,46.3,133,Medium,4,54,114,Corrective,11,900,No,8821,3.5,6.5,47.3,Declining,2500,8000,25000,5,1500,5000,800
H29462,H,298.8,309.2,1425,53.9,135,Medium,4,53,113,Corrective,11,1600,No,8925,3.6,6.4,47.5,Declining,7000,25000,70000,10,4200,15000,2500
M14909,M,298.9,309.2,1412,44.1,140,Medium,5,50,110,Corrective,11,1350,No,9124,3.6,6.4,47.1,Declining,4500,15000,45000,7,2800,9000,1500
L47230,L,298.9,309.1,2861,4.6,143,Critical,7,49,109,Emergency,35,1350,Yes,12157,4.9,5.1,95.4,Critical,2500,8000,25000,5,1500,5000,800
L47231,L,298.9,309.1,1383,54.9,145,Medium,5,48,108,Corrective,12,1050,No,9291,3.7,6.3,46.1,Declining,2500,8000,25000,5,1500,5000,800
H29466,H,298.8,309.0,1497,43.8,147,Medium,5,47,107,Corrective,12,1750,No,9609,3.8,6.2,49.9,Declining,7000,25000,70000,10,4200,15000,2500
L47233,L,298.7,309.0,1565,35.1,152,Medium,5,44,104,Corrective,12,1050,No,9970,4.0,6.0,52.2,Declining,2500,8000,25000,5,1500,5000,800
L47234,L,298.7,309.0,1691,30.1,154,Medium,5,43,103,Corrective,12,1050,No,10312,4.1,5.9,56.4,Declining,2500,8000,25000,5,1500,5000,800
L47235,L,298.8,309.1,1512,40.7,156,Medium,5,42,102,Corrective,13,1050,No,10044,4.0,6.0,50.4,Declining,2500,8000,25000,5,1500,5000,800
L47236,L,298.8,309.1,1477,42.4,158,Medium,5,41,101,Corrective,13,1050,No,10064,4.0,6.0,49.2,Declining,2500,8000,25000,5,1500,5000,800
L47237,L,298.8,309.1,1513,40.3,160,Medium,5,40,100,Corrective,13,1050,No,10226,4.1,5.9,50.4,Declining,2500,8000,25000,5,1500,5000,800
M14918,M,298.8,309.0,1661,29.5,162,Medium,5,39,99,Corrective,13,1350,No,10612,4.2,5.8,55.4,Declining,4500,15000,45000,7,2800,9000,1500
L47239,L,298.8,309.1,1378,54.4,165,Medium,5,38,98,Corrective,13,1050,No,10181,4.1,5.9,45.9,Declining,2500,8000,25000,5,1500,5000,800
L47240,L,298.8,309.1,1393,52.6,167,Medium,5,37,97,Corrective,13,1050,No,10301,4.1,5.9,46.4,Declining,2500,8000,25000,5,1500,5000,800
M14921,M,298.8,309.0,1592,38.2,169,Medium,5,36,96,Corrective,14,1350,No,10789,4.3,5.7,53.1,Declining,4500,15000,45000,7,2800,9000,1500
L47242,L,298.8,309.0,1829,22.9,172,Medium,5,34,94,Corrective,14,1050,No,11398,4.6,5.4,61.0,Declining,2500,8000,25000,5,1500,5000,800
M14923,M,298.9,309.0,1812,25.9,174,Medium,5,33,93,Corrective,14,1350,No,11454,4.6,5.4,60.4,Declining,4500,15000,45000,7,2800,9000,1500
L47244,L,299.0,309.1,1523,38.6,177,Medium,6,32,92,Corrective,14,1200,No,11011,4.4,5.6,50.8,Declining,2500,8000,25000,5,1500,5000,800
L47245,L,299.0,309.1,1394,45.1,179,Medium,6,31,91,Corrective,14,1200,No,10843,4.3,5.7,46.5,Declining,2500,8000,25000,5,1500,5000,800
M14926,M,298.9,308.9,1679,28.7,181,Critical,6,30,90,Corrective,15,1500,No,11503,4.6,5.4,56.0,Critical,4500,15000,45000,7,2800,9000,1500
H29481,H,298.8,308.9,1466,44.1,184,Critical,6,28,88,Corrective,15,1900,No,11212,4.5,5.5,48.9,Critical,7000,25000,70000,10,4200,15000,2500
L47248,L,298.8,308.9,1527,32.4,189,Critical,6,26,86,Corrective,15,1200,No,11559,4.6,5.4,50.9,Critical,2500,8000,25000,5,1500,5000,800
L47249,L,298.9,309.0,1410,65.7,191,Critical,8,25,85,Emergency,39,1500,Yes,11415,4.6,5.4,47.0,Critical,2500,8000,25000,5,1500,5000,800
M14930,M,298.9,309.0,1924,22.6,193,Critical,6,24,84,Corrective,16,1500,No,12533,5.0,5.0,64.1,Critical,4500,15000,45000,7,2800,9000,1500
L47251,L,298.9,309.1,1452,45.5,196,Critical,6,22,82,Corrective,16,1200,No,11724,4.7,5.3,48.4,Critical,2500,8000,25000,5,1500,5000,800
L47252,L,298.9,309.1,1369,44.4,198,Critical,6,21,81,Corrective,16,1200,No,11648,4.7,5.3,45.6,Critical,2500,8000,25000,5,1500,5000,800
L47253,L,299.0,309.1,1592,35.0,200,Critical,6,20,80,Corrective,16,1200,No,12184,4.9,5.1,53.1,Critical,2500,8000,25000,5,1500,5000,800
L47254,L,298.9,309.0,1601,32.3,202,Critical,6,19,79,Corrective,16,1200,No,12292,4.9,5.1,53.4,Critical,2500,8000,25000,5,1500,5000,800
L47255,L,298.8,308.9,1379,46.7,204,Critical,6,18,78,Corrective,17,1200,No,11938,4.8,5.2,46.0,Critical,2500,8000,25000,5,1500,5000,800
L47256,L,298.8,308.9,1461,47.9,206,Critical,6,17,77,Corrective,17,1200,No,12192,4.9,5.1,48.7,Critical,2500,8000,25000,5,1500,5000,800
L47257,L,298.8,308.9,1455,41.3,208,Critical,8,16,76,Emergency,41,1500,Yes,12270,4.9,5.1,48.5,Critical,2500,8000,25000,5,1500,5000,800
L47258,L,298.8,308.9,1398,51.5,0,Healthy,1,120,180,Preventive,0,450,No,2796,1.1,8.9,46.6,Stable,2500,8000,25000,5,1500,5000,800
L47259,L,298.8,308.9,1402,37.9,2,Healthy,1,119,179,Preventive,0,450,No,2894,1.2,8.8,46.7,Stable,2500,8000,25000,5,1500,5000,800
H29494,H,298.8,308.8,1445,49.9,4,Healthy,1,118,178,Preventive,0,1150,No,3070,1.2,8.8,48.2,Stable,7000,25000,70000,10,4200,15000,2500
L47261,L,298.9,308.9,1450,47.5,9,Healthy,1,116,176,Preventive,0,450,No,3305,1.3,8.7,48.3,Stable,2500,8000,25000,5,1500,5000,800
L47262,L,298.9,308.9,1453,40.8,11,Healthy,1,115,175,Preventive,0,450,No,3401,1.4,8.6,48.4,Stable,2500,8000,25000,5,1500,5000,800
L47263,L,299.0,309.0,1469,40.1,13,Healthy,1,114,174,Preventive,1,450,No,3523,1.4,8.6,49.0,Stable,2500,8000,25000,5,1500,5000,800
L47264,L,298.9,308.9,1422,47.6,15,Healthy,1,113,173,Preventive,1,450,No,3519,1.4,8.6,47.4,Stable,2500,8000,25000,5,1500,5000,800
M14945,M,299.0,309.0,1804,26.8,17,Healthy,1,112,172,Preventive,1,750,No,4373,1.7,8.3,60.1,Stable,4500,15000,45000,7,2800,9000,1500
H29500,H,299.0,309.0,1436,43.9,20,Healthy,1,110,170,Preventive,1,1150,No,3772,1.5,8.5,47.9,Stable,7000,25000,70000,10,4200,15000,2500
L47267,L,299.0,309.0,1544,31.8,25,Healthy,1,108,168,Preventive,2,450,No,4213,1.7,8.3,51.5,Stable,2500,8000,25000,5,1500,5000,800
M14948,M,299.0,309.0,1419,45.2,27,Healthy,1,107,167,Preventive,2,750,No,4053,1.6,8.4,47.3,Stable,4500,15000,45000,7,2800,9000,1500
M14949,M,298.9,308.9,1487,39.5,30,Healthy,1,105,165,Preventive,2,750,No,4324,1.7,8.3,49.6,Stable,4500,15000,45000,7,2800,9000,1500
L47270,L,298.9,308.9,1753,25.8,33,Healthy,1,104,164,Preventive,2,450,No,4991,2.0,8.0,58.4,Stable,2500,8000,25000,5,1500,5000,800
L47271,L,298.9,308.9,1830,24.9,35,Healthy,2,103,163,Preventive,2,600,No,5235,2.1,7.9,61.0,Stable,2500,8000,25000,5,1500,5000,800
M14952,M,298.9,308.9,1727,27.1,37,Healthy,2,102,162,Preventive,3,900,No,5119,2.0,8.0,57.6,Stable,4500,15000,45000,7,2800,9000,1500
L47273,L,299.1,309.0,1450,43.0,40,Healthy,2,100,160,Preventive,3,600,No,4700,1.9,8.1,48.3,Stable,2500,8000,25000,5,1500,5000,800
L47274,L,299.0,308.9,1622,31.9,42,Healthy,2,99,159,Preventive,3,600,No,5134,2.1,7.9,54.1,Stable,2500,8000,25000,5,1500,5000,800
M14955,M,299.0,309.0,1351,52.2,44,Healthy,2,98,158,Preventive,3,900,No,4682,1.9,8.1,45.0,Stable,4500,15000,45000,7,2800,9000,1500
M14956,M,299.0,309.0,1575,35.3,47,Healthy,2,97,157,Preventive,3,900,No,5265,2.1,7.9,52.5,Stable,4500,15000,45000,7,2800,9000,1500
M14957,M,298.9,308.9,1750,29.9,50,Healthy,2,95,155,Preventive,4,900,No,5750,2.3,7.7,58.3,Stable,4500,15000,45000,7,2800,9000,1500
L47278,L,298.9,308.8,1529,32.7,53,Healthy,2,94,154,Preventive,4,600,No,5443,2.2,7.8,51.0,Stable,2500,8000,25000,5,1500,5000,800
L47279,L,298.8,308.8,1523,44.4,55,Healthy,2,93,153,Preventive,4,600,No,5521,2.2,7.8,50.8,Stable,2500,8000,25000,5,1500,5000,800
L47280,L,298.8,308.9,1852,25.0,57,Healthy,2,92,152,Preventive,4,600,No,6269,2.5,7.5,61.7,Stable,2500,8000,25000,5,1500,5000,800
L47281,L,298.8,308.8,1991,20.7,59,Healthy,2,91,151,Preventive,4,600,No,6637,2.7,7.3,66.4,Stable,2500,8000,25000,5,1500,5000,800
L47282,L,298.8,308.8,1555,40.6,61,Healthy,2,90,150,Preventive,5,600,No,5855,2.3,7.7,51.8,Stable,2500,8000,25000,5,1500,5000,800
M14963,M,298.8,308.8,1441,40.5,63,Healthy,2,89,149,Preventive,5,900,No,5717,2.3,7.7,48.0,Stable,4500,15000,45000,7,2800,9000,1500
L47284,L,298.8,308.7,1450,43.4,66,Healthy,2,87,147,Preventive,5,600,No,5870,2.3,7.7,48.3,Stable,2500,8000,25000,5,1500,5000,800
L47285,L,298.8,308.7,1591,31.1,68,Healthy,2,86,146,Preventive,5,600,No,6242,2.5,7.5,53.0,Stable,2500,8000,25000,5,1500,5000,800
L47286,L,298.8,308.7,1445,48.5,70,Healthy,3,85,145,Preventive,5,750,No,6040,2.4,7.6,48.2,Stable,2500,8000,25000,5,1500,5000,800
M14967,M,298.8,308.8,1497,46.8,72,Healthy,3,84,144,Preventive,6,1050,No,6234,2.5,7.5,49.9,Stable,4500,15000,45000,7,2800,9000,1500
H29522,H,298.9,308.8,1621,32.7,75,Healthy,3,83,143,Preventive,6,1450,No,6617,2.6,7.4,54.0,Stable,7000,25000,70000,10,4200,15000,2500
L47289,L,298.9,308.7,1572,34.1,80,Medium,3,80,140,Preventive,6,750,No,6744,2.7,7.3,52.4,Declining,2500,8000,25000,5,1500,5000,800
L47290,L,298.8,308.6,1872,22.5,82,Medium,3,79,139,Preventive,6,750,No,7434,3.0,7.0,62.4,Declining,2500,8000,25000,5,1500,5000,800
H29525,H,298.7,308.6,1499,43.5,84,Medium,3,78,138,Preventive,7,1450,No,6778,2.7,7.3,50.0,Declining,7000,25000,70000,10,4200,15000,2500
M14972,M,298.8,308.7,1498,39.5,89,Medium,3,76,136,Preventive,7,1050,No,7001,2.8,7.2,49.9,Declining,4500,15000,45000,7,2800,9000,1500
M14973,M,298.8,308.6,1486,41.9,92,Medium,3,74,134,Preventive,7,1050,No,7112,2.8,7.2,49.5,Declining,4500,15000,45000,7,2800,9000,1500
L47294,L,298.8,308.6,1680,29.4,95,Medium,3,73,133,Preventive,7,750,No,7635,3.1,6.9,56.0,Declining,2500,8000,25000,5,1500,5000,800
L47295,L,298.8,308.6,1431,45.7,97,Medium,3,72,132,Preventive,8,750,No,7227,2.9,7.1,47.7,Declining,2500,8000,25000,5,1500,5000,800
L47296,L,298.9,308.7,1564,34.1,99,Medium,3,71,131,Preventive,8,750,No,7583,3.0,7.0,52.1,Declining,2500,8000,25000,5,1500,5000,800
L47297,L,298.8,308.6,1599,33.0,101,Medium,3,70,130,Preventive,8,750,No,7743,3.1,6.9,53.3,Declining,2500,8000,25000,5,1500,5000,800
M14978,M,298.8,308.6,1707,28.1,103,Medium,3,69,129,Preventive,8,1050,No,8049,3.2,6.8,56.9,Declining,4500,15000,45000,7,2800,9000,1500
L47299,L,298.7,308.5,1467,40.7,106,Medium,4,67,127,Preventive,8,900,No,7704,3.1,6.9,48.9,Declining,2500,8000,25000,5,1500,5000,800
L47300,L,298.9,308.7,1433,44.7,108,Medium,4,66,126,Preventive,9,900,No,7726,3.1,6.9,47.8,Declining,2500,8000,25000,5,1500,5000,800
L47301,L,298.9,308.7,1558,41.2,110,Medium,4,65,125,Preventive,9,900,No,8066,3.2,6.8,51.9,Declining,2500,8000,25000,5,1500,5000,800
L47302,L,299.0,308.8,1310,50.7,112,Medium,4,64,124,Preventive,9,900,No,7660,3.1,6.9,43.7,Declining,2500,8000,25000,5,1500,5000,800
L47303,L,298.9,308.7,1546,43.4,114,Medium,4,63,123,Preventive,9,900,No,8222,3.3,6.7,51.5,Declining,2500,8000,25000,5,1500,5000,800
L47304,L,298.9,308.7,1727,29.4,116,Medium,4,62,122,Preventive,9,900,No,8674,3.5,6.5,57.6,Declining,2500,8000,25000,5,1500,5000,800
L47305,L,298.9,308.6,1560,32.2,118,Medium,4,61,121,Preventive,9,900,No,8430,3.4,6.6,52.0,Declining,2500,8000,25000,5,1500,5000,800
L47306,L,299.0,308.6,1329,60.5,120,Medium,4,60,120,Corrective,10,900,No,8058,3.2,6.8,44.3,Declining,2500,8000,25000,5,1500,5000,800
L47307,L,298.9,308.6,1413,46.5,122,Medium,4,59,119,Corrective,10,900,No,8316,3.3,6.7,47.1,Declining,2500,8000,25000,5,1500,5000,800
L47308,L,299.0,308.6,1587,38.6,124,Medium,4,58,118,Corrective,10,900,No,8754,3.5,6.5,52.9,Declining,2500,8000,25000,5,1500,5000,800
L47309,L,298.9,308.5,1559,34.3,126,Medium,4,57,117,Corrective,10,900,No,8788,3.5,6.5,52.0,Declining,2500,8000,25000,5,1500,5000,800
L47310,L,298.8,308.4,1473,41.1,128,Medium,4,56,116,Corrective,10,900,No,8706,3.5,6.5,49.1,Declining,2500,8000,25000,5,1500,5000,800
L47311,L,298.8,308.4,1737,27.7,130,Medium,4,55,115,Corrective,10,900,No,9324,3.7,6.3,57.9,Declining,2500,8000,25000,5,1500,5000,800
M14992,M,298.7,308.4,1441,43.2,132,Medium,4,54,114,Corrective,11,1200,No,8822,3.5,6.5,48.0,Declining,4500,15000,45000,7,2800,9000,1500
M14993,M,298.7,308.4,1430,49.6,135,Medium,4,53,113,Corrective,11,1200,No,8935,3.6,6.4,47.7,Declining,4500,15000,45000,7,2800,9000,1500
L47314,L,298.8,308.4,1369,53.0,138,Medium,4,51,111,Corrective,11,900,No,8948,3.6,6.4,45.6,Declining,2500,8000,25000,5,1500,5000,800
M14995,M,298.8,308.5,1711,28.5,140,Medium,5,50,110,Corrective,11,1350,No,9722,3.9,6.1,57.0,Declining,4500,15000,45000,7,2800,9000,1500
H29550,H,298.7,308.5,1420,45.7,143,Medium,5,49,109,Corrective,11,1750,No,9275,3.7,6.3,47.3,Declining,7000,25000,70000,10,4200,15000,2500
L47317,L,298.7,308.6,1297,55.3,148,Medium,5,46,106,Corrective,12,1050,No,9254,3.7,6.3,43.2,Declining,2500,8000,25000,5,1500,5000,800
H29552,H,298.8,308.6,1449,49.4,150,Medium,5,45,105,Corrective,12,1750,No,9648,3.9,6.1,48.3,Declining,7000,25000,70000,10,4200,15000,2500
L47319,L,298.8,308.6,1268,55.8,155,Medium,5,43,103,Corrective,12,1050,No,9511,3.8,6.2,42.3,Declining,2500,8000,25000,5,1500,5000,800
L47320,L,298.8,308.6,1511,36.1,157,Medium,5,42,102,Corrective,13,1050,No,10087,4.0,6.0,50.4,Declining,2500,8000,25000,5,1500,5000,800
L47321,L,298.7,308.5,1544,35.2,159,Medium,5,41,101,Corrective,13,1050,No,10243,4.1,5.9,51.5,Declining,2500,8000,25000,5,1500,5000,800
M15002,M,298.6,308.4,1778,28.2,161,Medium,5,40,100,Corrective,13,1350,No,10801,4.3,5.7,59.3,Declining,4500,15000,45000,7,2800,9000,1500
H29557,H,298.6,308.4,1407,50.5,164,Medium,5,38,98,Corrective,13,1750,No,10194,4.1,5.9,46.9,Declining,7000,25000,70000,10,4200,15000,2500
M15004,M,298.6,308.4,1391,42.4,169,Medium,5,36,96,Corrective,14,1350,No,10387,4.2,5.8,46.4,Declining,4500,15000,45000,7,2800,9000,1500
L47325,L,298.5,308.4,1513,33.6,172,Medium,5,34,94,Corrective,14,1050,No,10766,4.3,5.7,50.4,Declining,2500,8000,25000,5,1500,5000,800
H29560,H,298.5,308.4,1612,36.1,174,Medium,5,33,93,Corrective,14,1750,No,11054,4.4,5.6,53.7,Declining,7000,25000,70000,10,4200,15000,2500
L47327,L,298.4,308.4,1515,40.1,179,Medium,6,31,91,Corrective,14,1200,No,11085,4.4,5.6,50.5,Declining,2500,8000,25000,5,1500,5000,800
M15008,M,298.3,308.3,1379,48.0,181,Critical,6,30,90,Corrective,15,1500,No,10903,4.4,5.6,46.0,Critical,4500,15000,45000,7,2800,9000,1500
L47329,L,298.4,308.3,1473,39.9,184,Critical,6,28,88,Corrective,15,1200,No,11226,4.5,5.5,49.1,Critical,2500,8000,25000,5,1500,5000,800
L47330,L,298.4,308.3,1422,42.7,186,Critical,6,27,87,Corrective,15,1200,No,11214,4.5,5.5,47.4,Critical,2500,8000,25000,5,1500,5000,800
M15011,M,298.4,308.2,1463,37.6,188,Critical,6,26,86,Corrective,15,1500,No,11386,4.6,5.4,48.8,Critical,4500,15000,45000,7,2800,9000,1500
M15012,M,298.4,308.2,1584,41.0,191,Critical,6,25,85,Corrective,15,1500,No,11763,4.7,5.3,52.8,Critical,4500,15000,45000,7,2800,9000,1500
L47333,L,298.4,308.2,1850,27.0,194,Critical,6,23,83,Corrective,16,1200,No,12430,5.0,5.0,61.7,Critical,2500,8000,25000,5,1500,5000,800
L47334,L,298.4,308.2,1528,36.2,196,Critical,6,22,82,Corrective,16,1200,No,11876,4.8,5.2,50.9,Critical,2500,8000,25000,5,1500,5000,800
H29569,H,298.4,308.2,1987,19.8,198,Critical,6,21,81,Corrective,16,1900,No,12884,5.2,4.8,66.2,Critical,7000,25000,70000,10,4200,15000,2500
M15016,M,298.4,308.1,1495,46.0,203,Critical,6,19,79,Corrective,16,1500,No,12125,4.8,5.2,49.8,Critical,4500,15000,45000,7,2800,9000,1500
H29571,H,298.4,308.2,1478,43.5,206,Critical,6,17,77,Corrective,17,1900,No,12226,4.9,5.1,49.3,Critical,7000,25000,70000,10,4200,15000,2500
M15018,M,298.4,308.2,1499,40.0,211,Critical,7,15,75,Corrective,17,1650,No,12493,5.0,5.0,50.0,Critical,4500,15000,45000,7,2800,9000,1500
L47339,L,298.4,308.2,1471,47.0,214,Critical,7,13,73,Corrective,17,1350,No,12572,5.0,5.0,49.0,Critical,2500,8000,25000,5,1500,5000,800
L47340,L,298.4,308.2,1282,60.7,216,Critical,9,12,72,Emergency,42,1650,Yes,12284,4.9,5.1,42.7,Critical,2500,8000,25000,5,1500,5000,800
L47341,L,298.3,308.1,1412,52.3,218,Critical,9,11,71,Emergency,42,1650,Yes,12634,5.1,4.9,47.1,Critical,2500,8000,25000,5,1500,5000,800
L47342,L,298.3,308.1,1586,35.5,0,Healthy,1,120,180,Preventive,0,450,No,3172,1.3,8.7,52.9,Stable,2500,8000,25000,5,1500,5000,800
