machine_id,operating_hours,estimated_age_years,remaining_useful_life_years,utilization_percent,health_trend
M14945,4373,1.7,8.3,60.1,Stable
H29500,3772,1.5,8.5,47.9,Stable
L47267,4213,1.7,8.3,51.5,Stable
M14948,4053,1.6,8.4,47.3,Stable
M14949,4324,1.7,8.3,49.6,Stable
L47270,4991,2.0,8.0,58.4,Stable
L47271,5235,2.1,7.9,61.0,Stable
M14952,5119,2.0,8.0,57.6,Stable
L47273,4700,1.9,8.1,48.3,Stable
L47274,5134,2.1,7.9,54.1,Stable
M14955,4682,1.9,8.1,45.0,Stable
M14956,5265,2.1,7.9,52.5,Stable
M14957,5750,2.3,7.7,58.3,Stable
L47278,5443,2.2,7.8,51.0,Stable
L47279,5521,2.2,7.8,50.8,Stable
L47280,6269,2.5,7.5,61.7,Stable
L47281,6637,2.7,7.3,66.4,Stable
L47282,5855,2.3,7.7,51.8,Stable
M14963,5717,2.3,7.7,48.0,Stable
L47284,5870,2.3,7.7,48.3,Stable
L47285,6242,2.5,7.5,53.0,Stable
L47286,6040,2.4,7.6,48.2,Stable
M14967,6234,2.5,7.5,49.9,Stable
H29522,6617,2.6,7.4,54.0,Stable
L47289,6744,2.7,7.3,52.4,Declining
L47290,7434,3.0,7.0,62.4,Declining
H29525,6778,2.7,7.3,50.0,Declining
M14972,7001,2.8,7.2,49.9,Declining
M14973,7112,2.8,7.2,49.5,Declining
L47294,7635,3.1,6.9,56.0,Declining
L47295,7227,2.9,7.1,47.7,Declining
L47296,7583,3.0,7.0,52.1,Declining
L47297,7743,3.1,6.9,53.3,Declining
M14978,8049,3.2,6.8,56.9,Declining
L47299,7704,3.1,6.9,48.9,Declining
L47300,7726,3.1,6.9,47.8,Declining
L47301,8066,3.2,6.8,51.9,Declining
L47302,7660,3.1,6.9,43.7,Declining
L47303,8222,3.3,6.7,51.5,Declining
L47304,8674,3.5,6.5,57.6,Declining
L47305,8430,3.4,6.6,52.0,Declining
L47306,8058,3.2,6.8,44.3,Declining
L47307,8316,3.3,6.7,47.1,Declining
L47308,8754,3.5,6.5,52.9,Declining
L47309,8788,3.5,6.5,52.0,Declining
L47310,8706,3.5,6.5,49.1,Declining
L47311,9324,3.7,6.3,57.9,Declining
M14992,8822,3.5,6.5,48.0,Declining
M14993,8935,3.6,6.4,47.7,Declining
L47314,8948,3.6,6.4,45.6,Declining
M14995,9722,3.9,6.1,57.0,Declining
H29550,9275,3.7,6.3,47.3,Declining
L47317,9254,3.7,6.3,43.2,Declining
H29552,9648,3.9,6.1,48.3,Declining
L47319,9511,3.8,6.2,42.3,Declining
L47320,10087,4.0,6.0,50.4,Declining
L47321,10243,4.1,5.9,51.5,Declining
M15002,10801,4.3,5.7,59.3,Declining
H29557,10194,4.1,5.9,46.9,Declining
M15004,10387,4.2,5.8,46.4,Declining
L47325,10766,4.3,5.7,50.4,Declining
H29560,11054,4.4,5.6,53.7,Declining
L47327,11085,4.4,5.6,50.5,Declining
M15008,10903,4.4,5.6,46.0,Critical
L47329,11226,4.5,5.5,49.1,Critical
L47330,11214,4.5,5.5,47.4,Critical
M15011,11386,4.6,5.4,48.8,Critical
M15012,11763,4.7,5.3,52.8,Critical
L47333,12430,5.0,5.0,61.7,Critical
L47334,11876,4.8,5.2,50.9,Critical
H29569,12884,5.2,4.8,66.2,Critical
M15016,12125,4.8,5.2,49.8,Critical
H29571,12226,4.9,5.1,49.3,Critical
M15018,12493,5.0,5.0,50.0,Critical
L47339,12572,5.0,5.0,49.0,Critical
L47340,12284,4.9,5.1,42.7,Critical
L47341,12634,5.1,4.9,47.1,Critical
L47342,3172,1.3,8.7,52.9,Stable
M15023,3026,1.2,8.8,48.9,Stable
M15024,3105,1.2,8.8,48.0,Stable
L47345,3826,1.5,8.5,57.8,Stable
H29580,3674,1.5,8.5,53.7,Stable
H29581,3591,1.4,8.6,48.6,Stable
L47348,3766,1.5,8.5,47.8,Critical
L47349,3626,1.5,8.5,43.9,Stable
M15030,4300,1.7,8.3,53.7,Stable
L47351,4139,1.7,8.3,48.7,Stable
M15032,5153,2.1,7.9,64.1,Stable
M15033,4622,1.8,8.2,53.0,Stable
L47354,4187,1.7,8.3,43.5,Stable
L47355,4429,1.8,8.2,46.1,Stable
L47356,4991,2.0,8.0,53.9,Stable
L47357,5821,2.3,7.7,66.3,Stable
L47358,4807,1.9,8.1,47.9,Stable
L47359,4633,1.9,8.1,43.5,Stable
L47360,5065,2.0,8.0,49.2,Stable
H29595,5853,2.3,7.7,60.8,Stable
M15042,5114,2.0,8.0,44.7,Stable
L47363,5535,2.2,7.8,49.5,Stable
L47364,5989,2.4,7.6,55.6,Stable
L47365,5637,2.3,7.7,48.2,Stable
L47366,5437,2.2,7.8,43.4,Stable
L47367,5683,2.3,7.7,46.0,Stable
L47368,6227,2.5,7.5,53.5,Stable
M15049,6183,2.5,7.5,51.3,Stable
L47370,6194,2.5,7.5,49.2,Stable
L47371,6662,2.7,7.3,55.5,Stable
H29606,6216,2.5,7.5,46.6,Stable
H29607,7001,2.8,7.2,55.9,Declining
M15054,9226,3.7,6.3,89.3,Critical
L47375,6911,2.8,7.2,48.4,Declining
H29610,6959,2.8,7.2,47.7,Declining
M15057,7374,2.9,7.1,50.9,Declining
L47378,7631,3.1,6.9,52.9,Declining
L47379,7411,3.0,7.0,47.8,Declining
L47380,7853,3.1,6.9,53.6,Declining
L47381,7875,3.2,6.8,52.5,Declining
M15062,8087,3.2,6.8,54.5,Declining
L47383,7930,3.2,6.8,49.7,Declining
L47384,8522,3.4,6.6,58.0,Declining
M15065,7818,3.1,6.9,44.8,Declining
L47386,8483,3.4,6.6,53.6,Declining
M15067,8197,3.3,6.7,47.4,Critical
L47388,8672,3.5,6.5,53.0,Declining
L47389,8534,3.4,6.6,49.2,Declining
L47390,8716,3.5,6.5,50.8,Declining
L47391,8910,3.6,6.4,52.5,Declining
H29626,8538,3.4,6.6,44.8,Declining
L47393,8847,3.5,6.5,46.2,Declining
M15074,9343,3.7,6.3,53.0,Declining
L47395,9396,3.8,6.2,51.6,Declining
L47396,9388,3.8,6.2,50.0,Declining
L47397,9808,3.9,6.1,55.5,Declining
L47398,9464,3.8,6.2,48.2,Declining
M15079,9528,3.8,6.2,47.8,Declining
L47400,9627,3.9,6.1,47.2,Declining
H29635,10539,4.2,5.8,60.9,Declining
L47402,9718,3.9,6.1,43.5,Declining
L47403,10338,4.1,5.9,52.3,Declining
L47404,10458,4.2,5.8,52.8,Declining
L47405,10104,4.0,6.0,45.4,Declining
L47406,10128,4.1,5.9,44.3,Declining
L47407,10638,4.3,5.7,51.3,Declining
M15088,10908,4.4,5.6,54.3,Declining
L47409,10861,4.3,5.7,51.3,Declining
L47410,11015,4.4,5.6,52.3,Declining
L47411,10781,4.3,5.7,46.9,Declining
L47412,10903,4.4,5.6,47.5,Declining
L47413,11169,4.5,5.5,50.4,Critical
L47414,11191,4.5,5.5,49.3,Critical
M15095,11685,4.7,5.3,56.0,Critical
L47416,11450,4.6,5.4,49.8,Critical
M15097,11654,4.7,5.3,51.7,Critical
L47418,11471,4.6,5.4,46.4,Critical
L47419,11997,4.8,5.2,53.7,Critical
M15100,11543,4.6,5.4,44.6,Critical
L47421,12554,5.0,5.0,59.2,Critical
L47422,11786,4.7,5.3,44.9,Critical
L47423,12064,4.8,5.2,48.1,Critical
M15104,12060,4.8,5.2,46.5,Critical
M15105,12659,5.1,4.9,54.2,Critical
L47426,12710,5.1,4.9,52.8,Critical
L47427,12568,5.0,5.0,49.0,Critical
L47428,12444,5.0,5.0,45.4,Critical
L47429,12620,5.0,5.0,46.8,Critical
L47430,3324,1.3,8.7,55.4,Stable
M15111,3022,1.2,8.8,48.9,Stable
L47432,3465,1.4,8.6,54.0,Stable
L47433,3029,1.2,8.8,45.2,Stable
L47434,3433,1.4,8.6,50.5,Stable
L47435,3473,1.4,8.6,49.6,Stable
L47436,3247,1.3,8.7,44.4,Stable
L47437,3905,1.6,8.4,53.8,Stable
L47438,3729,1.5,8.5,49.4,Stable
M15119,3695,1.5,8.5,47.3,Critical
M15120,4034,1.6,8.4,50.7,Stable
L47441,4433,1.8,8.2,55.1,Stable
M15122,4687,1.9,8.1,57.9,Stable
M15123,4524,1.8,8.2,52.9,Stable
L47444,4265,1.7,8.3,46.3,Stable
L47445,4483,1.8,8.2,48.5,Stable
H29680,4545,1.8,8.2,48.0,Stable
L47447,5798,2.3,7.7,65.1,Stable
H29682,5580,2.2,7.8,60.0,Stable
L47449,5253,2.1,7.9,50.8,Stable
H29684,5335,2.1,7.9,50.7,Stable
M15131,5424,2.2,7.8,48.4,Stable
L47452,5623,2.2,7.8,49.5,Stable
L47453,5597,2.2,7.8,47.5,Stable
L47454,6139,2.5,7.5,55.1,Stable
L47455,5727,2.3,7.7,46.7,Stable
M15136,6515,2.6,7.4,58.3,Stable
H29691,6108,2.4,7.6,49.3,Stable
M15138,6615,2.6,7.4,54.0,Stable
L47459,7148,2.9,7.1,60.6,Stable
M15140,6512,2.6,7.4,48.5,Declining
L47461,6987,2.8,7.2,54.2,Declining
M15142,6605,2.6,7.4,46.3,Declining
L47463,6898,2.8,7.2,49.0,Declining
L47464,8152,3.3,6.7,68.4,Declining
L47465,7276,2.9,7.1,52.3,Declining
L47466,7408,3.0,7.0,53.0,Declining
L47467,7930,3.2,6.8,60.2,Declining
H29702,7180,2.9,7.1,46.2,Declining
L47469,7507,3.0,7.0,47.9,Declining
L47470,7601,3.0,7.0,47.9,Declining
L47471,7761,3.1,6.9,49.1,Declining
L47472,7575,3.0,7.0,44.5,Declining
H29707,7779,3.1,6.9,46.4,Declining
M15154,7964,3.2,6.8,45.7,Declining
M15155,8787,3.5,6.5,57.2,Declining
L47476,8280,3.3,6.7,46.5,Declining
L47477,9006,3.6,6.4,57.1,Declining
H29712,9928,4.0,6.0,71.0,Declining
M15159,9029,3.6,6.4,52.2,Declining
L47480,9274,3.7,6.3,54.1,Declining
L47481,9600,3.8,6.2,58.0,Declining
H29716,9234,3.7,6.3,50.4,Declining
M15163,9393,3.8,6.2,49.3,Declining
L47484,10044,4.0,6.0,57.9,Declining
L47485,10918,4.4,5.6,71.0,Declining
L47486,9498,3.8,6.2,45.8,Declining
M15167,9998,4.0,6.0,52.6,Declining
L47488,9585,3.8,6.2,43.5,Declining
M15169,9963,4.0,6.0,48.3,Declining
H29724,10252,4.1,5.9,50.9,Declining
M15171,10331,4.1,5.9,48.4,Declining
L47492,10496,4.2,5.8,48.9,Declining
L47493,10276,4.1,5.9,43.8,Declining
M15174,10340,4.1,5.9,43.3,Declining
L47495,11167,4.5,5.5,54.9,Declining
L47496,11393,4.6,5.4,57.1,Declining
L47497,11425,4.6,5.4,56.2,Declining
L47498,11169,4.5,5.5,50.4,Critical
L47499,11459,4.6,5.4,53.7,Critical
H29734,11425,4.6,5.4,51.7,Critical
L47501,11586,4.6,5.4,50.6,Critical
L47502,11536,4.6,5.4,48.3,Critical
L47503,11852,4.7,5.3,52.0,Critical
M15184,11796,4.7,5.3,49.6,Critical
L47505,12353,4.9,5.1,56.6,Critical
L47506,12047,4.8,5.2,50.0,Critical
L47507,11881,4.8,5.2,45.8,Critical
H29742,12631,5.1,4.9,56.8,Critical
H29743,12890,5.2,4.8,57.3,Critical
M15190,12471,5.0,5.0,46.6,Critical
M15191,12592,5.0,5.0,46.4,Critical
M15192,3076,1.2,8.8,51.3,Stable
L47513,3429,1.4,8.6,54.9,Stable
M15194,3163,1.3,8.7,49.0,Stable
L47515,3858,1.5,8.5,58.3,Stable
M15196,4440,1.8,8.2,66.5,Stable
L47517,4069,1.6,8.4,58.1,Stable
L47518,3801,1.5,8.5,52.1,Stable
M15199,4191,1.7,8.3,57.1,Stable
L47520,3848,1.5,8.5,49.1,Stable
M15201,4050,1.6,8.4,51.0,Stable
L47522,4067,1.6,8.4,49.0,Stable
L47523,3991,1.6,8.4,46.3,Stable
M15204,6201,2.5,7.5,81.6,Stable
L47525,4610,1.8,8.2,52.8,Stable
M15206,4448,1.8,8.2,48.6,Stable
L47527,4753,1.9,8.1,51.5,Stable
L47528,4989,2.0,8.0,53.9,Stable
L47529,5035,2.0,8.0,53.2,Stable
H29764,4735,1.9,8.1,46.7,Stable
M15211,5382,2.2,7.8,53.7,Stable
M15212,5309,2.1,7.9,50.2,Stable
H29767,5778,2.3,7.7,55.8,Stable
L47534,5971,2.4,7.6,55.3,Stable
L47535,5991,2.4,7.6,54.1,Stable
M15216,5631,2.3,7.7,46.6,Stable
L47537,6004,2.4,7.6,50.6,Stable
M15218,5994,2.4,7.6,48.9,Stable
M15219,6329,2.5,7.5,52.2,Stable
M15220,6372,2.5,7.5,50.7,Stable
L47541,6657,2.7,7.3,53.2,Stable
H29776,6835,2.7,7.3,54.7,Stable
L47543,6656,2.7,7.3,47.9,Declining
L47544,6684,2.7,7.3,46.9,Declining
L47545,6666,2.7,7.3,45.1,Declining
M15226,7154,2.9,7.1,51.7,Declining
M15227,7323,2.9,7.1,52.3,Declining
L47548,7298,2.9,7.1,49.6,Declining
H29783,7584,3.0,7.0,52.9,Declining
M15230,7879,3.2,6.8,54.1,Declining
L47551,7978,3.2,6.8,53.5,Declining
M15232,7670,3.1,6.9,46.8,Declining
L47553,7819,3.1,6.9,47.1,Declining
L47554,7947,3.2,6.8,47.7,Declining
L47555,8241,3.3,6.7,51.1,Declining
M15236,8067,3.2,6.8,46.7,Declining
M15237,8248,3.3,6.7,47.5,Declining
L47558,9043,3.6,6.4,58.5,Declining
L47559,9133,3.7,6.3,58.5,Declining
L47560,10843,4.3,5.7,85.5,Critical
L47561,8897,3.6,6.4,51.5,Declining
L47562,8565,3.4,6.6,44.5,Declining
M15243,9669,3.9,6.1,61.4,Declining
L47564,9544,3.8,6.2,57.1,Declining
M15245,9038,3.6,6.4,47.1,Declining
L47566,8983,3.6,6.4,44.0,Declining
L47567,8933,3.6,6.4,41.6,Declining
L47568,9435,3.8,6.2,48.5,Declining
M15249,9431,3.8,6.2,46.9,Declining
L47570,9670,3.9,6.1,48.7,Declining
L47571,9822,3.9,6.1,49.7,Declining
M15252,9910,4.0,6.0,49.7,Declining
M15253,9765,3.9,6.1,45.0,Declining
L47574,10256,4.1,5.9,50.9,Declining
L47575,10432,4.2,5.8,52.4,Declining
L47576,10360,4.1,5.9,49.7,Declining
M15257,11018,4.4,5.6,59.1,Declining
H29812,10609,4.2,5.8,50.1,Declining
L47579,10614,4.2,5.8,46.4,Declining
L47580,12120,4.8,5.2,70.0,Declining
L47581,11454,4.6,5.4,57.4,Declining
L47582,11456,4.6,5.4,55.9,Critical
L47583,10736,4.3,5.7,42.4,Critical
L47584,10874,4.3,5.7,43.2,Critical
L47585,11070,4.4,5.6,45.0,Critical
L47586,11338,4.5,5.5,48.0,Critical
M15267,11750,4.7,5.3,53.3,Critical
M15268,11553,4.6,5.4,47.8,Critical
L47589,11738,4.7,5.3,48.6,Critical
M15270,11854,4.7,5.3,49.1,Critical
L47591,11903,4.8,5.2,47.6,Critical
L47592,11911,4.8,5.2,46.3,Critical
L47593,12371,4.9,5.1,52.4,Critical
L47594,12491,5.0,5.0,52.9,Critical
L47595,12427,5.0,5.0,50.4,Critical
L47596,12485,5.0,5.0,49.8,Critical
L47597,12373,4.9,5.1,46.5,Critical
L47598,4302,1.7,8.3,71.7,Stable
M15279,3092,1.2,8.8,50.0,Stable
M15280,2827,1.1,8.9,43.4,Stable
M15281,3674,1.5,8.5,55.2,Stable
L47602,3161,1.3,8.7,44.4,Stable
L47603,3553,1.4,8.6,49.5,Stable
L47604,3535,1.4,8.6,47.7,Stable
M15285,4095,1.6,8.4,55.5,Stable
L47606,3902,1.6,8.4,50.0,Stable
M15287,3982,1.6,8.4,49.9,Stable
M15288,4315,1.7,8.3,53.2,Stable
L47609,3676,1.5,8.5,40.3,Stable
L47610,4542,1.8,8.2,53.2,Stable
L47611,4332,1.7,8.3,48.2,Stable
M15292,4462,1.8,8.2,48.9,Stable
M15293,5361,2.1,7.9,61.6,Stable
M15294,4768,1.9,8.1,49.5,Stable
L47615,4921,2.0,8.0,49.8,Stable
L47616,5033,2.0,8.0,50.1,Stable
L47617,5191,2.1,7.9,51.3,Stable
L47618,4887,2.0,8.0,44.7,Stable
M15299,5365,2.1,7.9,51.2,Stable
L47620,5208,2.1,7.9,46.3,Stable
H29855,5306,2.1,7.9,46.4,Stable
L47622,5543,2.2,7.8,46.6,Critical
H29857,5773,2.3,7.7,49.0,Stable
L47624,6224,2.5,7.5,52.7,Stable
L47625,6736,2.7,7.3,59.8,Stable
L47626,6144,2.5,7.5,48.4,Stable
M15307,6082,2.4,7.6,45.9,Stable
L47628,6569,2.6,7.4,51.7,Stable
L47629,6799,2.7,7.3,54.1,Stable
M15310,6483,2.6,7.4,47.3,Declining
H29865,6660,2.7,7.3,48.0,Declining
M15312,7291,2.9,7.1,54.8,Declining
L47633,7160,2.9,7.1,50.3,Declining
L47634,7166,2.9,7.1,48.9,Declining
L47635,7178,2.9,7.1,47.6,Declining
H29870,7366,2.9,7.1,49.3,Declining
L47637,7187,2.9,7.1,42.5,Declining
L47638,7697,3.1,6.9,49.5,Declining
L47639,7767,3.1,6.9,49.2,Declining
H29874,7767,3.1,6.9,47.7,Declining
L47641,7934,3.2,6.8,46.7,Declining
L47642,8086,3.2,6.8,47.8,Declining
L47643,11058,4.4,5.6,95.8,Critical
L47644,8422,3.4,6.6,50.4,Declining
M15325,8402,3.4,6.6,48.5,Declining
L47646,8725,3.5,6.5,51.7,Declining
L47647,10079,4.0,6.0,72.7,Declining
L47648,9043,3.6,6.4,54.0,Declining
M15329,9067,3.6,6.4,52.9,Declining
H29884,9028,3.6,6.4,50.0,Declining
H29885,9093,3.6,6.4,47.3,Declining
M15332,9474,3.8,6.2,49.9,Declining
M15333,9655,3.9,6.1,50.7,Declining
L47654,9706,3.9,6.1,49.3,Declining
L47655,9600,3.8,6.2,46.0,Declining
L47656,10070,4.0,6.0,52.3,Declining
H29891,9956,4.0,6.0,48.9,Declining
L47658,10911,4.4,5.6,61.1,Declining
M15339,9981,4.0,6.0,44.1,Declining
L47660,10636,4.3,5.7,52.8,Declining
M15341,10672,4.3,5.7,51.9,Declining
L47662,10791,4.3,5.7,51.6,Declining
L47663,10433,4.2,5.8,44.1,Declining
L47664,11011,4.4,5.6,52.3,Declining
M15345,11335,4.5,5.5,56.2,Declining
M15346,11264,4.5,5.5,52.7,Critical
M15347,11161,4.5,5.5,48.8,Critical
L47668,11538,4.6,5.4,52.8,Critical
M15349,11154,4.5,5.5,44.9,Critical
L47670,11513,4.6,5.4,48.6,Critical
L47671,11525,4.6,5.4,47.3,Critical
L47672,11583,4.6,5.4,46.8,Critical
L47673,11805,4.7,5.3,49.0,Critical
L47674,11607,4.6,5.4,44.2,Critical
H29909,11963,4.8,5.2,48.6,Critical
M15356,12330,4.9,5.1,51.0,Critical
L47677,12415,5.0,5.0,50.2,Critical
L47678,12717,5.1,4.9,53.7,Critical
L47679,12615,5.0,5.0,50.5,Critical
M15360,13283,5.3,4.7,60.1,Critical
M15361,12738,5.1,4.9,48.8,Critical
L47682,12725,5.1,4.9,46.3,Critical
M15363,2884,1.2,8.8,48.1,Stable
M15364,3193,1.3,8.7,51.0,Stable
L47685,3490,1.4,8.6,53.7,Stable
L47686,3446,1.4,8.6,51.4,Stable
H29921,3340,1.3,8.7,48.2,Stable
L47688,4461,1.8,8.2,63.1,Stable
M15369,3595,1.4,8.6,47.2,Stable
L47690,4028,1.6,8.4,52.1,Stable
L47691,3948,1.6,8.4,49.3,Stable
L47692,3932,1.6,8.4,47.5,Stable
L47693,4026,1.6,8.4,47.6,Stable
L47694,4500,1.8,8.2,54.0,Stable
L47695,4780,1.9,8.1,57.2,Stable
L47696,4904,2.0,8.0,57.7,Stable
M15377,4312,1.7,8.3,46.4,Stable
L47698,5513,2.2,7.8,64.1,Stable
M15379,5809,2.3,7.7,67.6,Stable
L47700,5124,2.0,8.0,53.9,Stable
L47701,4974,2.0,8.0,49.9,Stable
M15382,4966,2.0,8.0,48.3,Stable
L47703,5007,2.0,8.0,46.7,Stable
L47704,5535,2.2,7.8,54.0,Stable
L47705,5317,2.1,7.9,48.9,Stable
L47706,5221,2.1,7.9,45.8,Stable
M15387,5749,2.3,7.7,53.1,Stable
M15388,5806,2.3,7.7,51.8,Stable
L47709,5973,2.4,7.6,52.3,Stable
M15390,6343,2.5,7.5,57.0,Stable
L47711,6158,2.5,7.5,51.6,Stable
L47712,6036,2.4,7.6,48.1,Stable
L47713,6590,2.6,7.4,55.8,Stable
L47714,6576,2.6,7.4,54.1,Stable
H29949,6150,2.5,7.5,45.5,Stable
L47716,7163,2.9,7.1,58.6,Declining
H29951,6767,2.7,7.3,50.5,Declining
M15398,6958,2.8,7.2,50.0,Declining
M15399,7645,3.1,6.9,59.2,Declining
L47720,7176,2.9,7.1,49.1,Declining
L47721,6912,2.8,7.2,43.2,Declining
L47722,8016,3.2,6.8,60.1,Declining
H29957,7626,3.1,6.9,52.1,Declining
M15404,8387,3.4,6.6,61.0,Declining
L47725,8776,3.5,6.5,65.3,Declining
L47726,8568,3.4,6.6,60.3,Declining
M15407,8004,3.2,6.8,49.4,Declining
L47728,7839,3.1,6.9,44.4,Declining
L47729,8139,3.3,6.7,47.9,Declining
L47730,8751,3.5,6.5,56.6,Declining
L47731,7993,3.2,6.8,42.5,Declining
M15412,8779,3.5,6.5,54.1,Declining
M15413,8798,3.5,6.5,52.1,Declining
H29968,8541,3.4,6.6,45.6,Declining
M15415,9108,3.6,6.4,51.3,Declining
L47736,8879,3.6,6.4,45.2,Declining
M15417,9121,3.6,6.4,47.8,Declining
L47738,9690,3.9,6.1,55.0,Declining
L47739,9486,3.8,6.2,50.1,Declining
L47740,9206,3.7,6.3,43.9,Declining
M15421,10016,4.0,6.0,55.9,Declining
L47742,9943,4.0,6.0,52.5,Declining
L47743,9943,4.0,6.0,51.0,Declining
H29978,10313,4.1,5.9,55.6,Declining
H29979,10340,4.1,5.9,52.3,Declining
M15426,10507,4.2,5.8,51.4,Declining
M15427,10920,4.4,5.6,56.0,Declining
L47748,11565,4.6,5.4,64.5,Declining
M15429,10977,4.4,5.6,53.2,Declining
L47750,10916,4.4,5.6,49.9,Declining
M15431,11362,4.5,5.5,55.9,Declining
L47752,10847,4.3,5.7,45.0,Critical
L47753,11179,4.5,5.5,49.1,Critical
M15434,11203,4.5,5.5,48.0,Critical
M15435,11280,4.5,5.5,47.0,Critical
H29990,11475,4.6,5.4,48.0,Critical
L47757,12002,4.8,5.2,53.0,Critical
L47758,11976,4.8,5.2,51.1,Critical
M15439,12400,5.0,5.0,56.7,Critical
M15440,12731,5.1,4.9,59.9,Critical
L47761,12058,4.8,5.2,46.5,Critical
L47762,12042,4.8,5.2,44.7,Critical
H29997,12844,5.1,4.9,56.6,Critical
H29998,12513,5.0,5.0,47.3,Critical
L47765,13902,5.6,4.4,66.7,Critical
L47766,12992,5.2,4.8,50.0,Critical
H30001,13326,5.3,4.7,54.1,Critical
L47768,13561,5.4,4.6,54.3,Critical
L47769,13377,5.4,4.6,49.7,Critical
L47770,13519,5.4,4.6,50.6,Critical
H30005,13625,5.4,4.6,50.8,Critical
H30006,14136,5.7,4.3,55.6,Critical
L47773,2624,1.0,9.0,43.7,Stable
H30008,2646,1.1,8.9,42.6,Stable
M15455,2975,1.2,8.8,44.3,Stable
M15456,3510,1.4,8.6,51.0,Stable
H30011,3441,1.4,8.6,47.6,Stable
L47778,3770,1.5,8.5,49.3,Stable
H30013,4132,1.7,8.3,53.9,Stable
L47780,4219,1.7,8.3,51.6,Stable
L47781,5603,2.2,7.8,73.1,Stable
L47782,5305,2.1,7.9,66.7,Stable
L47783,4067,1.6,8.4,44.5,Critical
L47784,4569,1.8,8.2,51.4,Stable
