machine_id,maintenance_count,last_service_days,next_service_days,maintenance_type,total_downtime_hours,maintenance_cost,last_failure
M14993,4,53,113,Corrective,11,1200,No
L47314,4,51,111,Corrective,11,900,No
M14995,5,50,110,Corrective,11,1350,No
H29550,5,49,109,Corrective,11,1750,No
L47317,5,46,106,Corrective,12,1050,No
H29552,5,45,105,Corrective,12,1750,No
L47319,5,43,103,Corrective,12,1050,No
L47320,5,42,102,Corrective,13,1050,No
L47321,5,41,101,Corrective,13,1050,No
M15002,5,40,100,Corrective,13,1350,No
H29557,5,38,98,Corrective,13,1750,No
M15004,5,36,96,Corrective,14,1350,No
L47325,5,34,94,Corrective,14,1050,No
H29560,5,33,93,Corrective,14,1750,No
L47327,6,31,91,Corrective,14,1200,No
M15008,6,30,90,Corrective,15,1500,No
L47329,6,28,88,Corrective,15,1200,No
L47330,6,27,87,Corrective,15,1200,No
M15011,6,26,86,Corrective,15,1500,No
M15012,6,25,85,Corrective,15,1500,No
L47333,6,23,83,Corrective,16,1200,No
L47334,6,22,82,Corrective,16,1200,No
H29569,6,21,81,Corrective,16,1900,No
M15016,6,19,79,Corrective,16,1500,No
H29571,6,17,77,Corrective,17,1900,No
M15018,7,15,75,Corrective,17,1650,No
L47339,7,13,73,Corrective,17,1350,No
L47340,9,12,72,Emergency,42,1650,Yes
L47341,9,11,71,Emergency,42,1650,Yes
L47342,1,120,180,Preventive,0,450,No
M15023,1,119,179,Preventive,0,750,No
M15024,1,118,178,Preventive,0,750,No
L47345,1,116,176,Preventive,0,450,No
H29580,1,115,175,Preventive,0,1150,No
H29581,1,113,173,Preventive,1,1150,No
L47348,3,110,170,Emergency,25,750,Yes
L47349,1,109,169,Preventive,1,450,No
M15030,1,108,168,Preventive,2,750,No
L47351,1,107,167,Preventive,2,450,No
M15032,1,106,166,Preventive,2,750,No
M15033,1,104,164,Preventive,2,750,No
L47354,2,103,163,Preventive,2,600,No
L47355,2,102,162,Preventive,3,600,No
L47356,2,101,161,Preventive,3,600,No
L47357,2,100,160,Preventive,3,600,No
L47358,2,99,159,Preventive,3,600,No
L47359,2,98,158,Preventive,3,600,No
L47360,2,97,157,Preventive,3,600,No
H29595,2,96,156,Preventive,4,1300,No
M15042,2,93,153,Preventive,4,900,No
L47363,2,92,152,Preventive,4,600,No
L47364,2,91,151,Preventive,4,600,No
L47365,2,90,150,Preventive,5,600,No
L47366,2,89,149,Preventive,5,600,No
L47367,2,88,148,Preventive,5,600,No
L47368,2,87,147,Preventive,5,600,No
M15049,2,86,146,Preventive,5,900,No
L47370,3,84,144,Preventive,6,750,No
L47371,3,83,143,Preventive,6,750,No
H29606,3,82,142,Preventive,6,1450,No
H29607,3,80,140,Preventive,6,1450,No
M15054,5,77,137,Emergency,31,1350,Yes
L47375,3,76,136,Preventive,7,750,No
H29610,3,75,135,Preventive,7,1450,No
M15057,3,72,132,Preventive,8,1050,No
L47378,3,71,131,Preventive,8,750,No
L47379,3,70,130,Preventive,8,750,No
L47380,3,69,129,Preventive,8,750,No
L47381,4,68,128,Preventive,8,900,No
M15062,4,67,127,Preventive,8,1200,No
L47383,4,65,125,Preventive,9,900,No
L47384,4,64,124,Preventive,9,900,No
M15065,4,63,123,Preventive,9,1200,No
L47386,4,62,122,Preventive,9,900,No
M15067,6,61,121,Emergency,33,1500,Yes
L47388,4,59,119,Corrective,10,900,No
L47389,4,58,118,Corrective,10,900,No
L47390,4,57,117,Corrective,10,900,No
L47391,4,56,116,Corrective,10,900,No
H29626,4,55,115,Corrective,10,1600,No
L47393,4,53,113,Corrective,11,900,No
M15074,4,52,112,Corrective,11,1200,No
L47395,5,50,110,Corrective,11,1050,No
L47396,5,49,109,Corrective,11,1050,No
L47397,5,48,108,Corrective,12,1050,No
L47398,5,47,107,Corrective,12,1050,No
M15079,5,46,106,Corrective,12,1350,No
L47400,5,45,105,Corrective,12,1050,No
H29635,5,44,104,Corrective,12,1750,No
L47402,5,41,101,Corrective,13,1050,No
L47403,5,40,100,Corrective,13,1050,No
L47404,5,39,99,Corrective,13,1050,No
L47405,5,38,98,Corrective,13,1050,No
L47406,5,37,97,Corrective,13,1050,No
L47407,5,36,96,Corrective,14,1050,No
M15088,5,35,95,Corrective,14,1350,No
L47409,5,34,94,Corrective,14,1050,No
L47410,6,33,93,Corrective,14,1200,No
L47411,6,32,92,Corrective,14,1200,No
L47412,6,31,91,Corrective,14,1200,No
L47413,6,30,90,Corrective,15,1200,No
L47414,6,29,89,Corrective,15,1200,No
M15095,6,28,88,Corrective,15,1500,No
L47416,6,26,86,Corrective,15,1200,No
M15097,6,25,85,Corrective,15,1500,No
L47418,6,24,84,Corrective,16,1200,No
L47419,6,23,83,Corrective,16,1200,No
M15100,6,22,82,Corrective,16,1500,No
L47421,6,20,80,Corrective,16,1200,No
L47422,8,19,79,Emergency,40,1500,Yes
L47423,6,18,78,Corrective,17,1200,No
M15104,6,17,77,Corrective,17,1500,No
M15105,6,16,76,Corrective,17,1500,No
L47426,7,14,74,Corrective,17,1350,No
L47427,7,13,73,Corrective,17,1350,No
L47428,9,12,72,Emergency,42,1650,Yes
L47429,9,11,71,Emergency,42,1650,Yes
L47430,1,120,180,Preventive,0,450,No
M15111,1,119,179,Preventive,0,750,No
L47432,1,118,178,Preventive,0,450,No
L47433,1,117,177,Preventive,0,450,No
L47434,1,116,176,Preventive,0,450,No
L47435,1,115,175,Preventive,0,450,No
L47436,1,114,174,Preventive,1,450,No
L47437,1,113,173,Preventive,1,450,No
L47438,1,112,172,Preventive,1,450,No
M15119,3,111,171,Emergency,25,1050,Yes
M15120,1,109,169,Preventive,1,750,No
L47441,1,108,168,Preventive,2,450,No
M15122,1,107,167,Preventive,2,750,No
M15123,1,105,165,Preventive,2,750,No
L47444,1,104,164,Preventive,2,450,No
L47445,2,103,163,Preventive,2,600,No
H29680,2,102,162,Preventive,3,1300,No
L47447,2,99,159,Preventive,3,600,No
H29682,2,98,158,Preventive,3,1300,No
L47449,2,96,156,Preventive,4,600,No
H29684,2,95,155,Preventive,4,1300,No
M15131,2,92,152,Preventive,4,900,No
L47452,2,91,151,Preventive,4,600,No
L47453,2,90,150,Preventive,5,600,No
L47454,2,89,149,Preventive,5,600,No
L47455,2,88,148,Preventive,5,600,No
M15136,2,87,147,Preventive,5,900,No
H29691,3,85,145,Preventive,5,1450,No
M15138,3,83,143,Preventive,6,1050,No
L47459,3,81,141,Preventive,6,750,No
M15140,3,80,140,Preventive,6,1050,No
L47461,3,79,139,Preventive,6,750,No
M15142,3,78,138,Preventive,7,1050,No
L47463,3,76,136,Preventive,7,750,No
L47464,3,75,135,Preventive,7,750,No
L47465,3,74,134,Preventive,7,750,No
L47466,3,73,133,Preventive,7,750,No
L47467,3,72,132,Preventive,8,750,No
H29702,3,71,131,Preventive,8,1450,No
L47469,3,69,129,Preventive,8,750,No
L47470,4,68,128,Preventive,8,900,No
L47471,4,67,127,Preventive,8,900,No
L47472,4,66,126,Preventive,9,900,No
H29707,4,65,125,Preventive,9,1600,No
M15154,4,62,122,Preventive,9,1200,No
M15155,4,61,121,Preventive,9,1200,No
L47476,4,59,119,Corrective,10,900,No
L47477,4,58,118,Corrective,10,900,No
H29712,4,57,117,Corrective,10,1600,No
M15159,4,55,115,Corrective,10,1200,No
L47480,4,53,113,Corrective,11,900,No
L47481,4,52,112,Corrective,11,900,No
H29716,4,51,111,Corrective,11,1600,No
M15163,5,49,109,Corrective,11,1350,No
L47484,5,47,107,Corrective,12,1050,No
L47485,5,46,106,Corrective,12,1050,No
L47486,5,45,105,Corrective,12,1050,No
M15167,5,44,104,Corrective,12,1350,No
L47488,5,43,103,Corrective,12,1050,No
M15169,5,42,102,Corrective,13,1350,No
H29724,5,40,100,Corrective,13,1750,No
M15171,5,38,98,Corrective,13,1350,No
L47492,5,36,96,Corrective,14,1050,No
L47493,5,35,95,Corrective,14,1050,No
M15174,5,34,94,Corrective,14,1350,No
L47495,6,33,93,Corrective,14,1200,No
L47496,6,32,92,Corrective,14,1200,No
L47497,6,31,91,Corrective,14,1200,No
L47498,6,30,90,Corrective,15,1200,No
L47499,6,29,89,Corrective,15,1200,No
H29734,6,28,88,Corrective,15,1900,No
L47501,6,25,85,Corrective,15,1200,No
L47502,6,24,84,Corrective,16,1200,No
L47503,6,23,83,Corrective,16,1200,No
M15184,6,22,82,Corrective,16,1500,No
L47505,6,21,81,Corrective,16,1200,No
L47506,6,20,80,Corrective,16,1200,No
L47507,8,19,79,Emergency,40,1500,Yes
H29742,6,18,78,Corrective,17,1900,No
H29743,7,15,75,Corrective,17,2050,No
M15190,7,13,73,Corrective,17,1650,No
M15191,7,11,71,Corrective,18,1650,No
M15192,1,120,180,Preventive,0,750,No
L47513,1,119,179,Preventive,0,450,No
M15194,1,118,178,Preventive,0,750,No
L47515,1,116,176,Preventive,0,450,No
M15196,1,115,175,Preventive,0,750,No
L47517,1,114,174,Preventive,1,450,No
L47518,1,113,173,Preventive,1,450,No
M15199,1,112,172,Preventive,1,750,No
L47520,1,110,170,Preventive,1,450,No
M15201,1,109,169,Preventive,1,750,No
L47522,1,108,168,Preventive,2,450,No
L47523,1,107,167,Preventive,2,450,No
M15204,1,106,166,Preventive,2,750,No
L47525,1,104,164,Preventive,2,450,No
M15206,1,103,163,Preventive,2,750,No
L47527,2,102,162,Preventive,3,600,No
L47528,2,101,161,Preventive,3,600,No
L47529,2,100,160,Preventive,3,600,No
H29764,2,99,159,Preventive,3,1300,No
M15211,2,96,156,Preventive,4,900,No
M15212,2,95,155,Preventive,4,900,No
H29767,2,93,153,Preventive,4,1300,No
L47534,2,91,151,Preventive,4,600,No
L47535,2,90,150,Preventive,5,600,No
M15216,2,89,149,Preventive,5,900,No
L47537,2,87,147,Preventive,5,600,No
M15218,2,86,146,Preventive,5,900,No
M15219,3,85,145,Preventive,5,1050,No
M15220,3,83,143,Preventive,6,1050,No
L47541,3,82,142,Preventive,6,750,No
H29776,3,81,141,Preventive,6,1450,No
L47543,3,78,138,Preventive,7,750,No
L47544,3,77,137,Preventive,7,750,No
L47545,3,76,136,Preventive,7,750,No
M15226,3,75,135,Preventive,7,1050,No
M15227,3,74,134,Preventive,7,1050,No
L47548,3,72,132,Preventive,8,750,No
H29783,3,71,131,Preventive,8,1450,No
M15230,3,69,129,Preventive,8,1050,No
L47551,4,67,127,Preventive,8,900,No
M15232,4,66,126,Preventive,9,1200,No
L47553,4,65,125,Preventive,9,900,No
L47554,4,64,124,Preventive,9,900,No
L47555,4,63,123,Preventive,9,900,No
M15236,4,62,122,Preventive,9,1200,No
M15237,4,60,120,Corrective,10,1200,No
L47558,4,59,119,Corrective,10,900,No
L47559,4,58,118,Corrective,10,900,No
L47560,6,57,117,Emergency,34,1200,Yes
L47561,4,56,116,Corrective,10,900,No
L47562,4,55,115,Corrective,10,900,No
M15243,4,54,114,Corrective,11,1200,No
L47564,4,52,112,Corrective,11,900,No
M15245,4,51,111,Corrective,11,1200,No
L47566,5,50,110,Corrective,11,1050,No
L47567,5,49,109,Corrective,11,1050,No
L47568,5,48,108,Corrective,12,1050,No
M15249,5,47,107,Corrective,12,1350,No
L47570,5,45,105,Corrective,12,1050,No
L47571,5,44,104,Corrective,12,1050,No
M15252,5,43,103,Corrective,12,1350,No
M15253,5,42,102,Corrective,13,1350,No
L47574,5,40,100,Corrective,13,1050,No
L47575,5,39,99,Corrective,13,1050,No
L47576,5,38,98,Corrective,13,1050,No
M15257,5,37,97,Corrective,13,1350,No
H29812,5,36,96,Corrective,14,1750,No
L47579,5,33,93,Corrective,14,1050,No
L47580,6,32,92,Corrective,14,1200,No
L47581,6,31,91,Corrective,14,1200,No
L47582,6,30,90,Corrective,15,1200,No
L47583,6,29,89,Corrective,15,1200,No
L47584,6,28,88,Corrective,15,1200,No
L47585,6,27,87,Corrective,15,1200,No
L47586,6,26,86,Corrective,15,1200,No
M15267,6,25,85,Corrective,15,1500,No
M15268,6,24,84,Corrective,16,1500,No
L47589,6,22,82,Corrective,16,1200,No
M15270,6,21,81,Corrective,16,1500,No
L47591,6,20,80,Corrective,16,1200,No
L47592,6,19,79,Corrective,16,1200,No
L47593,6,18,78,Corrective,17,1200,No
L47594,6,17,77,Corrective,17,1200,No
L47595,6,16,76,Corrective,17,1200,No
L47596,7,15,75,Corrective,17,1350,No
L47597,7,14,74,Corrective,17,1350,No
L47598,1,120,180,Preventive,0,450,No
M15279,1,119,179,Preventive,0,750,No
M15280,1,118,178,Preventive,0,750,No
M15281,1,116,176,Preventive,0,750,No
L47602,1,115,175,Preventive,0,450,No
L47603,1,114,174,Preventive,1,450,No
L47604,1,113,173,Preventive,1,450,No
M15285,1,112,172,Preventive,1,750,No
L47606,1,110,170,Preventive,1,450,No
M15287,1,109,169,Preventive,1,750,No
M15288,1,108,168,Preventive,2,750,No
L47609,1,106,166,Preventive,2,450,No
L47610,1,105,165,Preventive,2,450,No
L47611,1,104,164,Preventive,2,450,No
M15292,1,103,163,Preventive,2,750,No
M15293,2,102,162,Preventive,3,900,No
M15294,2,100,160,Preventive,3,900,No
L47615,2,99,159,Preventive,3,600,No
L47616,2,98,158,Preventive,3,600,No
L47617,2,97,157,Preventive,3,600,No
L47618,2,96,156,Preventive,4,600,No
M15299,2,95,155,Preventive,4,900,No
L47620,2,93,153,Preventive,4,600,No
H29855,2,92,152,Preventive,4,1300,No
L47622,4,90,150,Emergency,29,900,Yes
H29857,2,89,149,Preventive,5,1300,No
L47624,2,86,146,Preventive,5,600,No
L47625,3,85,145,Preventive,5,750,No
L47626,3,84,144,Preventive,6,750,No
M15307,3,83,143,Preventive,6,1050,No
L47628,3,82,142,Preventive,6,750,No
L47629,3,81,141,Preventive,6,750,No
M15310,3,80,140,Preventive,6,1050,No
H29865,3,78,138,Preventive,7,1450,No
M15312,3,76,136,Preventive,7,1050,No
L47633,3,74,134,Preventive,7,750,No
L47634,3,73,133,Preventive,7,750,No
L47635,3,72,132,Preventive,8,750,No
H29870,3,71,131,Preventive,8,1450,No
L47637,3,69,129,Preventive,8,750,No
L47638,4,68,128,Preventive,8,900,No
L47639,4,67,127,Preventive,8,900,No
H29874,4,66,126,Preventive,9,1600,No
L47641,4,63,123,Preventive,9,900,No
L47642,4,62,122,Preventive,9,900,No
L47643,6,61,121,Emergency,33,1200,Yes
L47644,4,60,120,Corrective,10,900,No
M15325,4,59,119,Corrective,10,1200,No
L47646,4,58,118,Corrective,10,900,No
L47647,4,57,117,Corrective,10,900,No
L47648,4,56,116,Corrective,10,900,No
M15329,4,55,115,Corrective,10,1200,No
H29884,4,53,113,Corrective,11,1600,No
H29885,4,51,111,Corrective,11,1600,No
M15332,5,48,108,Corrective,12,1350,No
M15333,5,47,107,Corrective,12,1350,No
L47654,5,45,105,Corrective,12,1050,No
L47655,5,44,104,Corrective,12,1050,No
L47656,5,43,103,Corrective,12,1050,No
H29891,5,42,102,Corrective,13,1750,No
L47658,5,40,100,Corrective,13,1050,No
M15339,5,39,99,Corrective,13,1350,No
L47660,5,37,97,Corrective,13,1050,No
M15341,5,36,96,Corrective,14,1350,No
L47662,5,35,95,Corrective,14,1050,No
L47663,5,34,94,Corrective,14,1050,No
L47664,6,33,93,Corrective,14,1200,No
M15345,6,32,92,Corrective,14,1500,No
M15346,6,30,90,Corrective,15,1500,No
M15347,6,29,89,Corrective,15,1500,No
L47668,6,27,87,Corrective,15,1200,No
M15349,6,26,86,Corrective,15,1500,No
L47670,6,25,85,Corrective,15,1200,No
L47671,6,24,84,Corrective,16,1200,No
L47672,6,23,83,Corrective,16,1200,No
L47673,6,22,82,Corrective,16,1200,No
L47674,6,21,81,Corrective,16,1200,No
H29909,6,20,80,Corrective,16,1900,No
M15356,6,17,77,Corrective,17,1500,No
L47677,6,16,76,Corrective,17,1200,No
L47678,7,15,75,Corrective,17,1350,No
L47679,7,14,74,Corrective,17,1350,No
M15360,7,13,73,Corrective,17,1650,No
M15361,7,11,71,Corrective,18,1650,No
L47682,7,10,70,Corrective,18,1350,No
M15363,1,120,180,Preventive,0,750,No
M15364,1,119,179,Preventive,0,750,No
L47685,1,117,177,Preventive,0,450,No
L47686,1,116,176,Preventive,0,450,No
H29921,1,115,175,Preventive,0,1150,No
L47688,1,113,173,Preventive,1,450,No
M15369,1,112,172,Preventive,1,750,No
L47690,1,110,170,Preventive,1,450,No
L47691,1,109,169,Preventive,1,450,No
L47692,1,108,168,Preventive,2,450,No
L47693,1,107,167,Preventive,2,450,No
L47694,1,106,166,Preventive,2,450,No
L47695,1,105,165,Preventive,2,450,No
L47696,1,104,164,Preventive,2,450,No
M15377,1,103,163,Preventive,2,750,No
L47698,2,102,162,Preventive,3,600,No
M15379,2,101,161,Preventive,3,900,No
L47700,2,99,159,Preventive,3,600,No
L47701,2,98,158,Preventive,3,600,No
M15382,2,97,157,Preventive,3,900,No
L47703,2,96,156,Preventive,4,600,No
L47704,2,95,155,Preventive,4,600,No
L47705,2,94,154,Preventive,4,600,No
L47706,2,93,153,Preventive,4,600,No
M15387,2,92,152,Preventive,4,900,No
M15388,2,90,150,Preventive,5,900,No
L47709,2,89,149,Preventive,5,600,No
M15390,2,88,148,Preventive,5,900,No
L47711,2,86,146,Preventive,5,600,No
L47712,3,85,145,Preventive,5,750,No
L47713,3,84,144,Preventive,6,750,No
L47714,3,83,143,Preventive,6,750,No
H29949,3,82,142,Preventive,6,1450,No
L47716,3,80,140,Preventive,6,750,No
H29951,3,79,139,Preventive,6,1450,No
M15398,3,76,136,Preventive,7,1050,No
M15399,3,75,135,Preventive,7,1050,No
L47720,3,73,133,Preventive,7,750,No
L47721,3,72,132,Preventive,8,750,No
L47722,3,71,131,Preventive,8,750,No
H29957,3,70,130,Preventive,8,1450,No
M15404,4,68,128,Preventive,8,1200,No
L47725,4,66,126,Preventive,9,900,No
L47726,4,65,125,Preventive,9,900,No
M15407,4,64,124,Preventive,9,1200,No
L47728,4,63,123,Preventive,9,900,No
L47729,4,62,122,Preventive,9,900,No
L47730,4,61,121,Preventive,9,900,No
L47731,4,60,120,Corrective,10,900,No
M15412,4,59,119,Corrective,10,1200,No
M15413,4,57,117,Corrective,10,1200,No
H29968,4,56,116,Corrective,10,1600,No
M15415,4,53,113,Corrective,11,1200,No
L47736,4,52,112,Corrective,11,900,No
M15417,4,51,111,Corrective,11,1200,No
L47738,5,49,109,Corrective,11,1050,No
L47739,5,48,108,Corrective,12,1050,No
L47740,5,47,107,Corrective,12,1050,No
M15421,5,46,106,Corrective,12,1350,No
L47742,5,45,105,Corrective,12,1050,No
L47743,5,44,104,Corrective,12,1050,No
H29978,5,43,103,Corrective,12,1750,No
H29979,5,40,100,Corrective,13,1750,No
M15426,5,38,98,Corrective,13,1350,No
M15427,5,36,96,Corrective,14,1350,No
L47748,5,35,95,Corrective,14,1050,No
M15429,5,34,94,Corrective,14,1350,No
L47750,6,32,92,Corrective,14,1200,No
M15431,6,31,91,Corrective,14,1500,No
L47752,6,30,90,Corrective,15,1200,No
L47753,6,29,89,Corrective,15,1200,No
M15434,6,28,88,Corrective,15,1500,No
M15435,6,26,86,Corrective,15,1500,No
H29990,6,25,85,Corrective,15,1900,No
L47757,6,22,82,Corrective,16,1200,No
L47758,6,21,81,Corrective,16,1200,No
M15439,6,20,80,Corrective,16,1500,No
M15440,6,19,79,Corrective,16,1500,No
L47761,6,17,77,Corrective,17,1200,No
L47762,6,16,76,Corrective,17,1200,No
H29997,7,15,75,Corrective,17,2050,No
H29998,7,13,73,Corrective,17,2050,No
L47765,7,10,70,Corrective,18,1350,No
L47766,9,9,69,Emergency,42,1650,Yes
H30001,7,8,68,Corrective,18,2050,No
L47768,7,6,66,Corrective,19,1350,No
L47769,7,5,65,Corrective,19,1350,No
L47770,7,5,64,Corrective,19,1350,No
H30005,7,5,63,Corrective,19,2050,No
H30006,7,5,60,Corrective,20,2050,No
L47773,1,120,180,Preventive,0,450,No
H30008,1,119,179,Preventive,0,1150,No
M15455,1,117,177,Preventive,0,750,No
M15456,1,115,175,Preventive,0,750,No
H30011,1,114,174,Preventive,1,1150,No
L47778,1,111,171,Preventive,1,450,No
H30013,1,110,170,Preventive,1,1150,No
L47780,1,108,168,Preventive,2,450,No
L47781,1,107,167,Preventive,2,450,No
L47782,1,106,166,Preventive,2,450,No
L47783,3,105,165,Emergency,26,750,Yes
L47784,1,104,164,Preventive,2,450,No
M15465,2,103,163,Preventive,2,900,No
L47786,2,101,161,Preventive,3,600,No
M15467,2,100,160,Preventive,3,900,No
L47788,2,99,159,Preventive,3,600,No
L47789,2,98,158,Preventive,3,600,No
L47790,2,97,157,Preventive,3,600,No
L47791,2,96,156,Preventive,4,600,No
L47792,2,95,155,Preventive,4,600,No
L47793,2,94,154,Preventive,4,600,No
M15474,2,93,153,Preventive,4,900,No
L47795,2,91,151,Preventive,4,600,No
H30030,2,90,150,Preventive,5,1300,No
M15477,2,88,148,Preventive,5,900,No
H30032,2,86,146,Preventive,5,1300,No
L47799,3,84,144,Preventive,6,750,No
M15480,3,83,143,Preventive,6,1050,No
L47801,3,81,141,Preventive,6,750,No
M15482,3,80,140,Preventive,6,1050,No
L47803,3,79,139,Preventive,6,750,No
H30038,3,78,138,Preventive,7,1450,No
L47805,3,75,135,Preventive,7,750,No
L47806,3,74,134,Preventive,7,750,No
L47807,3,73,133,Preventive,7,750,No
M15488,3,72,132,Preventive,8,1050,No
L47809,3,71,131,Preventive,8,750,No
L47810,3,70,130,Preventive,8,750,No
L47811,3,69,129,Preventive,8,750,No
H30046,4,68,128,Preventive,8,1600,No
L47813,4,65,125,Preventive,9,900,No
L47814,4,64,124,Preventive,9,900,No
L47815,4,63,123,Preventive,9,900,No
L47816,4,62,122,Preventive,9,900,No
L47817,4,61,121,Preventive,9,900,No
L47818,4,60,120,Corrective,10,900,No
L47819,4,59,119,Corrective,10,900,No
M15500,4,58,118,Corrective,10,1200,No
L47821,4,57,117,Corrective,10,900,No
M15502,4,56,116,Corrective,10,1200,No
M15503,4,54,114,Corrective,11,1200,No
